Original_Index,Selected_Index,Correlation
2,1,0.177844
17,2,0.203568
18,3,0.234898
19,4,0.164361
27,5,0.183626
28,6,0.332404
29,7,0.378141
30,8,0.140327
46,9,0.241775
48,10,0.241777
52,11,0.241777
54,12,0.241777
69,13,0.427088
77,14,0.241775
78,15,0.208358
80,16,0.396386
81,17,0.485230
84,18,0.248034
85,19,0.323125
90,20,0.168412
91,21,0.157455
96,22,0.204852
101,23,0.136203
