1 1:0.18294663573085848 2:0.0006883148433071503 3:0.1 4:0.1 5:0.1 6:0.00030953363598844406 7:0.01929426330994635 8:0.21326867519603798 9:209.5 10:209.0 11:209.0 12:209.0 13:7322.0 14:119.71428571428571 15:110.87794355662868 16:1.8889590696042307 17:0.8860320624537152 18:9674.392370783951 19:-7053.83108923971 20:-11450.298529302088 21:4254.434338646466 22:1646.3265191635548 23:361.62398106841994
1 1:1.0 2:0.9015444015444015 3:0.8581081081081081 4:1.0 5:0.1 6:0.0007454342154304882 7:0.0018635855385762206 8:0.016772269847185987 9:141.5 10:141.0 11:141.0 12:141.0 13:2695.0 14:80.85714285714286 15:74.85687022851117 16:11.500846979107848 17:0.9477605789300492 18:164.247901270836 19:-132.09051014204812 20:-255.712646518033 21:-61.00071394885144 22:-20.356674270117523 23:119.41084434664245
1 1:1.0 2:1.0 3:0.493891151425398 4:0.5001851166234728 5:0.1 6:0.007455731593662628 7:0.10904007455731593 8:0.40680335507921717 9:210.5 10:210.0 11:210.0 12:210.0 13:4980.0 14:120.28571428571429 15:104.30547757937369 16:15.35174582747889 17:0.9548602816566013 18:276.6112910937141 19:-95.39315682302872 20:459.30583054739543 21:-427.5215449920909 22:-556.3426376926626 23:158.04781904346777
1 1:0.5288449266113593 2:1.0 3:0.5492341356673961 4:0.29048140043763676 5:0.1 6:0.1 7:0.1 8:0.1 9:356.5 10:356.0 11:356.0 12:356.0 13:2484.0 14:203.71428571428572 15:203.05855192580313 16:4.1043690233460985 17:0.9630814413676578 18:44.563384065730695 19:-7.870523449128038 20:-90.04179190691352 21:12.206725950850574 22:64.04096890774534 23:64.07328538405001
1 1:0.6656459086864578 2:0.014038835692213788 3:0.1 4:0.1 5:0.1 6:0.006102877070619006 7:0.054413046822913994 8:0.3679163034001744 9:250.75 10:250.25 11:250.25 12:250.25 13:20383.0 14:143.28571428571428 15:142.1575728204589 16:1.9890553600357523 17:0.9672610503811413 18:15477.818215686822 19:-3617.728987369695 20:2099.9791879985883 21:-7308.381773996896 22:-2203.423470897784 23:5446.242244890638
1 1:0.6189628642950646 2:1.0 3:0.8339552238805971 4:0.42350746268656714 5:0.1 6:0.1 7:0.1 8:0.1 9:376.0 10:375.5 11:375.5 12:375.5 13:2090.0 14:214.85714285714286 15:271.47450739114583 16:2.3028707237898187 17:0.9561998154972593 18:150.87888605111678 19:-146.3667613758311 20:-235.21316212325542 21:231.47699782798355 22:-8.601582730610723 23:396.3169714735842
1 1:0.5946623241507215 2:0.013609002878827532 3:0.1 4:0.1 5:0.1 6:0.019216823785351705 7:0.03698332124728064 8:0.4945612762871646 9:367.0 10:366.5 11:366.5 12:366.5 13:3946.0 14:209.71428571428572 15:203.18092872097608 16:0.6775237808701973 17:0.9458803371297193 18:1954.4227011684748 19:-742.1990474053314 20:6967.813512936849 21:-5302.7488216214815 22:3992.815577877207 23:-3733.7296874645817
1 1:1.0 2:0.018373171601855157 3:0.1 4:0.1 5:0.1 6:0.008921820656283079 7:0.11341297444427642 8:1.0 9:255.0 10:254.5 11:254.5 12:254.5 13:3993.0 14:145.71428571428572 15:129.85344957815693 16:1.0498778149294234 17:0.9599146609654841 18:2757.200234123995 19:-1769.033980922185 20:215.66113572133898 21:-4825.934423449269 22:-7839.863724862096 23:-5106.2335733731925
1 1:0.6923903772681069 2:0.08097165991902834 3:0.0008097165991902834 4:0.1 5:0.1 6:0.1 7:0.037250384024577574 8:1.0 9:377.25 10:376.75 11:376.75 12:376.75 13:2885.0 14:215.57142857142858 15:190.44148493349203 16:0.6315791728060857 17:0.9669868138632567 18:1207.3493982951181 19:-57.480550423268255 20:5245.648422288867 21:-467.303819080537 22:6704.453282123816 23:-6029.415447828169
1 1:1.0 2:1.0 3:0.6119631901840491 4:0.6625766871165644 5:0.1 6:0.1 7:0.1 8:0.1 9:192.0 10:191.5 11:191.5 12:191.5 13:1370.0 14:109.71428571428571 15:95.02287587089495 16:6.225426965241892 17:0.9406351748445034 18:78.6225418873963 19:-37.993895994576164 20:200.72257696850923 21:-228.15037292748775 22:-110.28634574409925 23:-37.66650591456784
1 1:0.7978673421445059 2:0.014278206026629292 3:0.0016643307638402243 4:0.00043798177995795374 5:0.1 6:0.1 7:0.010142477662400387 8:0.4157208403767206 9:401.0 10:400.5 11:400.5 12:400.5 13:6492.0 14:229.14285714285714 15:218.667672554514 16:1.0363553903477962 17:0.9739199734110923 18:4879.053935425144 19:-2760.141260282266 20:5798.599073156691 21:-11358.313844063507 22:-11369.7590825877 23:5594.7816738777
