2 1:0.6628384808374427 2:0.3946924474435505 3:0.1 4:0.011052798982188295 5:0.18416030534351144 6:1.0 7:1.0 8:0.391832793775203 9:0.2669392855114443 10:25710.0 11:32.83820506619915 12:419.2141201040523 13:286.2248569963436 14:1017.7729310347452 15:-414.3080869706198 16:903.5956800428969
2 1:0.7723244202399268 2:0.018339012166230923 3:0.6664421722892304 4:1.0 5:0.6710953284760913 6:0.10763484969081001 7:0.20231532524807055 8:0.024562048266568662 9:0.006615214994487321 10:18698.0 11:2.4567031344439987 12:11269.124900564742 13:930.8763072822939 14:44401.033856428054 15:43269.37923374825 16:1026.8382789455093
2 1:1.0 2:0.04823243930858285 3:0.6627736333618687 4:1.0 5:0.6168521462639109 6:0.7591414944356121 7:0.7947748126357078 8:0.13006934229880227 9:0.041430272466204385 10:38415.0 11:21.21903741830552 12:11214.37560014113 13:14180.175455751536 14:34256.94692678556 15:17530.190928045056 16:13933.330814931127
2 1:0.8773729742902401 2:0.665017667844523 3:0.32047345483359746 4:1.0 5:0.5899366085578447 6:0.4864550316957211 7:1.0 8:0.6412810833949488 9:0.7879129859516675 10:78304.0 11:34.717901106705334 12:19104.95936875112 13:8781.313824644205 14:2441.672099112486 15:3958.8816169111074 16:497.7971042264315
2 1:0.5300599233766659 2:0.3784013883886178 3:0.3296278960917388 4:1.0 5:0.4860753568921133 6:0.6810593650050706 7:1.0 8:0.32280701754385965 9:0.32653508771929823 10:61820.0 11:37.76571662847479 12:13147.153229049107 13:655.3349140492348 14:7428.525009668869 15:10980.72637481224 16:-502.01116352970166
2 1:0.697655160390516 2:0.20292887029288703 3:0.1 4:0.01662049861495845 5:0.1994459833795014 6:1.0 7:0.8663218931202006 8:0.12929007992477667 9:0.07381288199341796 10:10774.0 11:15.327507716049382 12:177.935226376739 13:389.1030182660139 14:307.7934470598519 15:-243.7934385666214 16:27.23546813559738
2 1:1.0 2:0.14933004587619492 3:0.1 4:0.007261924409968642 5:0.09853111074434726 6:0.9766298068988282 7:0.7178686605180453 8:0.1469301398845593 9:0.14795719244910954 10:65480.0 11:91.78763588916426 12:507.0676486907786 13:147.5229250781613 14:1754.3413942804832 15:3006.92058173707 16:-300.3865849960075
2 1:0.9313536820053104 2:0.17519670653577257 3:0.1 4:0.01878577763444328 5:0.14593243570104006 6:0.8073046843505604 7:0.9399823477493381 8:0.1577758164165931 9:0.12406001765225066 10:25536.0 11:47.36131775521931 12:401.7070763639438 13:589.8375044481078 14:1413.6097479828275 15:870.5807861532027 16:196.49401561544377
2 1:1.0 2:0.12985415872795927 3:0.1 4:0.004522709776751347 5:0.12471131639722864 6:1.0 7:0.36073265361364254 8:0.08183704773075882 9:0.05639267346386358 10:13088.0 11:7.5512842128927105 12:184.9380438727824 13:-239.68431590161114 14:577.5117407947412 15:205.5595547670902 16:484.65837963398815
2 1:0.22938164883012488 2:0.12051228887223081 3:0.1 4:0.1 5:0.0016950664644482113 6:0.12436435007583192 7:0.654088299346664 8:0.14927737081765988 9:0.1351811522470798 10:15120.0 11:33.11555519591863 12:2.5464790894703255 13:0.5192489427323516 14:4.495651474472297 15:-7.851374962843585 16:12.206455805222024
