Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	74.95	8.53	74.55	10.85
Linear	0.001000	0.010000	74.95	8.53	74.55	10.85
Linear	0.001000	0.100000	74.95	8.53	74.55	10.85
Linear	0.001000	1.000000	74.95	8.53	74.55	10.85
Linear	0.001000	10.000000	74.95	8.53	74.55	10.85
Linear	0.001000	100.000000	74.95	8.53	74.55	10.85
Linear	0.001000	1000.000000	74.95	8.53	74.55	10.85
Linear	0.010000	0.001000	64.37	10.74	64.70	13.20
Linear	0.010000	0.010000	64.37	10.74	64.70	13.20
Linear	0.010000	0.100000	64.37	10.74	64.70	13.20
Linear	0.010000	1.000000	64.37	10.74	64.70	13.20
Linear	0.010000	10.000000	64.37	10.74	64.70	13.20
Linear	0.010000	100.000000	64.37	10.74	64.70	13.20
Linear	0.010000	1000.000000	64.37	10.74	64.70	13.20
Linear	0.100000	0.001000	60.58	13.59	60.75	16.50
Linear	0.100000	0.010000	60.58	13.59	60.75	16.50
Linear	0.100000	0.100000	60.58	13.59	60.75	16.50
Linear	0.100000	1.000000	60.58	13.59	60.75	16.50
Linear	0.100000	10.000000	60.58	13.59	60.75	16.50
Linear	0.100000	100.000000	60.58	13.59	60.75	16.50
Linear	0.100000	1000.000000	60.58	13.59	60.75	16.50
Linear	1.000000	0.001000	53.63	14.41	53.89	14.14
Linear	1.000000	0.010000	53.63	14.41	53.89	14.14
Linear	1.000000	0.100000	53.63	14.41	53.89	14.14
Linear	1.000000	1.000000	53.63	14.41	53.89	14.14
Linear	1.000000	10.000000	53.63	14.41	53.89	14.14
Linear	1.000000	100.000000	53.63	14.41	53.89	14.14
Linear	1.000000	1000.000000	53.63	14.41	53.89	14.14
Linear	10.000000	0.001000	52.29	12.85	51.58	16.95
Linear	10.000000	0.010000	52.29	12.85	51.58	16.95
Linear	10.000000	0.100000	52.29	12.85	51.58	16.95
Linear	10.000000	1.000000	52.29	12.85	51.58	16.95
Linear	10.000000	10.000000	52.29	12.85	51.58	16.95
Linear	10.000000	100.000000	52.29	12.85	51.58	16.95
Linear	10.000000	1000.000000	52.29	12.85	51.58	16.95
Linear	100.000000	0.001000	49.01	11.28	52.42	16.99
Linear	100.000000	0.010000	49.01	11.28	52.42	16.99
Linear	100.000000	0.100000	49.01	11.28	52.42	16.99
Linear	100.000000	1.000000	49.01	11.28	52.42	16.99
Linear	100.000000	10.000000	49.01	11.28	52.42	16.99
Linear	100.000000	100.000000	49.01	11.28	52.42	16.99
Linear	100.000000	1000.000000	49.01	11.28	52.42	16.99
Linear	1000.000000	0.001000	52.85	12.81	55.50	17.70
Linear	1000.000000	0.010000	52.85	12.81	55.50	17.70
Linear	1000.000000	0.100000	52.85	12.81	55.50	17.70
Linear	1000.000000	1.000000	52.85	12.81	55.50	17.70
Linear	1000.000000	10.000000	52.85	12.81	55.50	17.70
Linear	1000.000000	100.000000	52.85	12.81	55.50	17.70
Linear	1000.000000	1000.000000	52.85	12.81	55.50	17.70
Polynomial	0.001000	0.001000	55.16	8.90	55.32	10.43
Polynomial	0.001000	0.010000	52.16	9.66	53.28	11.20
Polynomial	0.001000	0.100000	55.52	10.46	55.34	14.21
Polynomial	0.001000	1.000000	45.61	7.37	44.85	8.02
Polynomial	0.001000	10.000000	53.59	12.36	54.80	11.63
Polynomial	0.001000	100.000000	46.94	8.30	46.96	10.62
Polynomial	0.001000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	0.010000	0.001000	55.16	8.90	55.32	10.43
Polynomial	0.010000	0.010000	52.16	9.66	53.28	11.20
Polynomial	0.010000	0.100000	55.52	10.46	55.34	14.21
Polynomial	0.010000	1.000000	45.61	7.37	44.85	8.02
Polynomial	0.010000	10.000000	53.59	12.36	54.80	11.63
Polynomial	0.010000	100.000000	46.94	8.30	46.96	10.62
Polynomial	0.010000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	0.100000	0.001000	55.16	8.90	55.32	10.43
Polynomial	0.100000	0.010000	52.16	9.66	53.28	11.20
Polynomial	0.100000	0.100000	55.52	10.46	55.34	14.21
Polynomial	0.100000	1.000000	45.61	7.37	44.85	8.02
Polynomial	0.100000	10.000000	53.59	12.36	54.80	11.63
Polynomial	0.100000	100.000000	46.94	8.30	46.96	10.62
Polynomial	0.100000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	1.000000	0.001000	55.16	8.90	55.32	10.43
Polynomial	1.000000	0.010000	52.16	9.66	53.28	11.20
Polynomial	1.000000	0.100000	55.52	10.46	55.34	14.21
Polynomial	1.000000	1.000000	45.61	7.37	44.85	8.02
Polynomial	1.000000	10.000000	53.59	12.36	54.80	11.63
Polynomial	1.000000	100.000000	46.94	8.30	46.96	10.62
Polynomial	1.000000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	10.000000	0.001000	55.16	8.90	55.32	10.43
Polynomial	10.000000	0.010000	52.16	9.66	53.28	11.20
Polynomial	10.000000	0.100000	55.52	10.46	55.34	14.21
Polynomial	10.000000	1.000000	45.61	7.37	44.85	8.02
Polynomial	10.000000	10.000000	53.59	12.36	54.80	11.63
Polynomial	10.000000	100.000000	46.94	8.30	46.96	10.62
Polynomial	10.000000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	100.000000	0.001000	55.16	8.90	55.32	10.43
Polynomial	100.000000	0.010000	52.16	9.66	53.28	11.20
Polynomial	100.000000	0.100000	55.52	10.46	55.34	14.21
Polynomial	100.000000	1.000000	45.61	7.37	44.85	8.02
Polynomial	100.000000	10.000000	53.59	12.36	54.80	11.63
Polynomial	100.000000	100.000000	46.94	8.30	46.96	10.62
Polynomial	100.000000	1000.000000	56.42	9.41	58.40	10.82
Polynomial	1000.000000	0.001000	55.16	8.90	55.32	10.43
Polynomial	1000.000000	0.010000	52.16	9.66	53.28	11.20
Polynomial	1000.000000	0.100000	55.52	10.46	55.34	14.21
Polynomial	1000.000000	1.000000	45.61	7.37	44.85	8.02
Polynomial	1000.000000	10.000000	53.59	12.36	54.80	11.63
Polynomial	1000.000000	100.000000	46.94	8.30	46.96	10.62
Polynomial	1000.000000	1000.000000	56.42	9.41	58.40	10.82
Radial Basis Function	0.001000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	1.000000	0.001000	100.00	0.00	58.09	7.86
Radial Basis Function	1.000000	0.010000	100.00	0.00	52.67	7.18
Radial Basis Function	1.000000	0.100000	100.00	0.00	45.80	4.59
Radial Basis Function	1.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	0.001000	100.00	0.00	58.09	7.74
Radial Basis Function	10.000000	0.010000	100.00	0.00	52.66	7.71
Radial Basis Function	10.000000	0.100000	100.00	0.00	46.40	3.97
Radial Basis Function	10.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	0.001000	100.00	0.00	58.09	7.74
Radial Basis Function	100.000000	0.010000	100.00	0.00	52.66	7.71
Radial Basis Function	100.000000	0.100000	100.00	0.00	46.40	3.97
Radial Basis Function	100.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	0.001000	100.00	0.00	58.09	7.74
Radial Basis Function	1000.000000	0.010000	100.00	0.00	52.66	7.71
Radial Basis Function	1000.000000	0.100000	100.00	0.00	46.40	3.97
Radial Basis Function	1000.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	1000.000000	100.00	0.00	45.20	3.95
Sigmoid	0.001000	0.001000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	0.010000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	0.100000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	1.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	10.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	100.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	1000.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.001000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.010000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.100000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	1.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	10.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	100.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	1000.000000	50.53	0.43	45.20	3.95
Sigmoid	0.100000	0.001000	50.53	0.44	45.20	3.95
Sigmoid	0.100000	0.010000	50.53	0.44	45.20	3.95
Sigmoid	0.100000	0.100000	50.53	0.44	45.20	3.95
