Original_Index,Selected_Index,Correlation
2,1,0.240639
9,2,0.107658
14,3,0.168143
15,4,0.254096
16,5,0.277023
17,6,0.114597
34,7,0.238081
35,8,0.299528
36,9,0.251890
69,10,0.279277
80,11,0.377297
84,12,0.260146
89,13,0.104514
90,14,0.352871
96,15,0.172474
103,16,0.110532
