Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Polynomial	100.000000	10.000000	50.07	7.49	49.99	12.86
Polynomial	100.000000	100.000000	50.76	10.68	47.98	14.31
Polynomial	100.000000	1000.000000	70.56	1.74	72.14	3.15
Polynomial	1000.000000	0.001000	52.49	10.31	55.83	14.63
Polynomial	1000.000000	0.010000	50.43	6.78	50.64	10.13
Polynomial	1000.000000	0.100000	52.95	9.64	49.46	12.66
Polynomial	1000.000000	1.000000	62.20	8.55	58.48	13.11
Polynomial	1000.000000	10.000000	50.07	7.49	49.99	12.86
Polynomial	1000.000000	100.000000	50.76	10.68	47.98	14.31
Polynomial	1000.000000	1000.000000	70.56	1.74	72.14	3.15
Radial Basis Function	0.001000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.001000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.010000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.001000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.010000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	0.100000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	1.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	10.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	100.000000	50.53	0.43	45.20	3.95
Radial Basis Function	0.100000	1000.000000	50.53	0.43	45.20	3.95
Radial Basis Function	1.000000	0.001000	100.00	0.00	48.52	3.94
Radial Basis Function	1.000000	0.010000	100.00	0.00	45.50	3.32
Radial Basis Function	1.000000	0.100000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	0.001000	100.00	0.00	48.52	3.94
Radial Basis Function	10.000000	0.010000	100.00	0.00	45.50	3.32
Radial Basis Function	10.000000	0.100000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	10.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	0.001000	100.00	0.00	48.52	3.94
Radial Basis Function	100.000000	0.010000	100.00	0.00	45.50	3.32
Radial Basis Function	100.000000	0.100000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	100.000000	1000.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	0.001000	100.00	0.00	48.52	3.94
Radial Basis Function	1000.000000	0.010000	100.00	0.00	45.50	3.32
Radial Basis Function	1000.000000	0.100000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	1.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	10.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	100.000000	100.00	0.00	45.20	3.95
Radial Basis Function	1000.000000	1000.000000	100.00	0.00	45.20	3.95
Sigmoid	0.001000	0.001000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	0.010000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	0.100000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	1.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	10.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	100.000000	50.53	0.43	45.20	3.95
Sigmoid	0.001000	1000.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.001000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.010000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	0.100000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	1.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	10.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	100.000000	50.53	0.43	45.20	3.95
Sigmoid	0.010000	1000.000000	50.53	0.43	45.20	3.95
Sigmoid	0.100000	0.001000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	0.010000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	0.100000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	1.000000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	10.000000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	100.000000	50.63	0.59	45.20	4.17
Sigmoid	0.100000	1000.000000	50.63	0.59	45.20	4.17
Sigmoid	1.000000	0.001000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	0.010000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	0.100000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	1.000000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	10.000000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	100.000000	48.57	1.20	46.37	6.17
Sigmoid	1.000000	1000.000000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	0.001000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	0.010000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	0.100000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	1.000000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	10.000000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	100.000000	48.57	1.20	46.37	6.17
Sigmoid	10.000000	1000.000000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	0.001000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	0.010000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	0.100000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	1.000000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	10.000000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	100.000000	48.57	1.20	46.37	6.17
Sigmoid	100.000000	1000.000000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	0.001000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	0.010000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	0.100000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	1.000000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	10.000000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	100.000000	48.57	1.20	46.37	6.17
Sigmoid	1000.000000	1000.000000	48.57	1.20	46.37	6.17
