1 1:1.0 2:0.18705852023717454 3:0.25413766434648105 4:0.03382315029646816 5:0.1 6:1.0 7:0.1897319621021945 8:0.057737468620940965 9:0.1 10:0.1 11:0.1 12:0.1 13:0.00030953363598844406 14:0.01929426330994635 15:0.21326867519603798 16:0.1706562113082955 17:1.0 18:0.22389599669830787 19:0.25113495666529095 20:0.09244737928188196 21:0.15971935617003716 22:209.5 23:52.002403790594144 24:209.0 25:52.0 26:209.0 27:52.0 28:209.0 29:52.0 30:7322.0 31:119.71428571428571 32:110.87794355662868 33:0.8860320624537152 34:0.9251592295767077 35:0.978786811611115 36:-7053.83108923971 37:2380.1096852875567 38:3839.4944058330825 39:-11450.298529302088 40:4254.434338646466 41:280.753137917964 42:361.62398106841994 43:-1714.1400162191899
1 1:0.5668956604543599 2:0.3191062440484288 3:0.41018228812406476 4:0.11345395184328663 5:0.08682492177934975 6:0.1 7:0.02413127413127413 8:0.7915057915057915 9:0.8581081081081081 10:1.0 11:0.003861003861003861 12:0.1 13:0.0007454342154304882 14:0.0018635855385762206 15:0.016772269847185987 16:0.10175177040626164 17:1.0 18:0.2828922847558703 19:0.20723071188967573 20:0.0413715989563921 21:0.014908684308609765 22:141.5 23:35.00357124637428 24:141.0 25:35.0 26:141.0 27:35.0 28:141.0 29:35.0 30:2695.0 31:80.85714285714286 32:74.85687022851117 33:0.9477605789300492 34:0.9750047411008831 35:0.9819715577811545 36:-132.09051014204812 37:-170.35975284443415 38:268.26176334320394 39:-255.712646518033 40:-61.00071394885144 41:106.77566868775641 42:119.41084434664245 43:-424.5246795605067
1 1:0.5668956604543599 2:0.3191062440484288 3:0.41018228812406476 4:0.11345395184328663 5:0.08682492177934975 6:0.1 7:0.031469825990373936 8:0.5149944465012958 9:0.493891151425398 10:0.5001851166234728 11:0.1 12:0.1 13:0.007455731593662628 14:0.10904007455731593 15:0.40680335507921717 16:0.4105312208760485 17:1.0 18:0.304287045666356 19:0.38816402609506057 20:0.1989748369058714 21:0.23392357875116496 22:210.5 23:7.0178344238090995 24:210.0 25:7.0 26:210.0 27:7.0 28:210.0 29:7.0 30:4980.0 31:120.28571428571429 32:104.30547757937369 33:0.9548602816566013 34:0.9541006878966691 35:0.967108166062094 36:-95.39315682302872 37:-606.5165704515025 38:295.85765864020055 39:459.30583054739543 40:-427.5215449920909 41:-72.83844640754182 42:158.04781904346777 43:294.38502827291944
1 1:1.0 2:0.21879387364390554 3:0.22597319719208678 4:0.054865985960433954 5:0.04061901723037652 6:0.1 7:0.011487964989059081 8:0.19146608315098468 9:0.5492341356673961 10:0.29048140043763676 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:1.0 18:0.5809128630705395 19:0.8817427385892116 20:0.3132780082987552 21:0.6293222683264177 22:356.5 23:133.00093984630334 24:356.0 25:133.0 26:356.0 27:133.0 28:356.0 29:133.0 30:2484.0 31:203.71428571428572 32:203.05855192580313 33:0.9630814413676578 34:0.9857503265132821 35:0.9908523266450557 36:-7.870523449128038 37:23.4921089022761 38:3.6578024928059802 39:-90.04179190691352 40:12.206725950850574 41:-6.4187016244295245 42:64.07328538405001 43:5.706921404672945
1 1:1.0 2:0.24316766238718698 3:0.22225175358517166 4:0.04671990015831379 5:0.015057143187307163 6:1.0 7:0.6875596078281768 8:0.22782588791820851 9:0.1 10:0.1 11:0.1 12:0.1 13:0.006102877070619006 14:0.054413046822913994 15:0.3679163034001744 16:0.4389968716344428 17:1.0 18:0.2629365608492743 19:0.23319144571516487 20:0.0656956767013693 21:0.04338684035078722 22:250.75 23:91.75340593133315 24:250.25 25:91.75 26:250.25 27:91.75068119638132 28:250.25 29:91.75068119638132 30:20383.0 31:143.28571428571428 32:142.1575728204589 33:0.9672610503811413 34:0.8893738381901223 35:0.9528501621663144 36:-3617.728987369695 37:-14704.603247139554 38:7088.5458752049135 39:2099.9791879985883 40:-7308.381773996896 41:3657.35034748218 42:5446.242244890638 43:-1431.4669765867097
1 1:1.0 2:0.2506832326665595 3:0.2751647796431114 4:0.08960108398594493 5:0.045323014032106194 6:0.007462686567164179 7:0.1417910447761194 8:0.5261194029850746 9:0.8339552238805971 10:0.42350746268656714 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.013195098963242224 17:0.7483506126295947 18:0.6173421300659755 19:1.0 20:0.39491046182846373 21:0.6003770028275212 22:376.0 23:261.5004780110354 24:375.5 25:261.5 26:375.5 27:261.5 28:375.5 29:261.5 30:2090.0 31:214.85714285714286 32:271.47450739114583 33:0.9561998154972593 34:0.9928745234896788 35:0.9954634839079317 36:-146.3667613758311 37:154.61051041987187 38:-4.049046927239301 39:-235.21316212325542 40:231.47699782798355 41:-291.4264397642657 42:396.3169714735842 43:-28.30044096480163
1 1:1.0 2:0.2669109331885828 3:0.2960057900212602 4:0.08392816754874022 5:0.03127516171348442 6:0.3365611096571578 7:1.0 8:0.3679665009159906 9:0.1 10:0.1 11:0.1 12:0.1 13:0.019216823785351705 14:0.03698332124728064 15:0.4945612762871646 16:0.4659173313995649 17:1.0 18:0.2374909354604786 19:0.18600435097897028 20:0.05910079767947788 21:0.06055112400290065 22:367.0 23:120.5010373399333 24:366.5 25:120.5 26:366.5 27:120.5 28:366.5 29:120.5 30:3946.0 31:209.71428571428572 32:203.18092872097608 33:0.9458803371297193 34:0.987108146859946 35:0.992580608600168 36:-742.1990474053314 37:-5267.152519040423 38:2726.765674365428 39:6967.813512936849 40:-5302.7488216214815 41:8516.053624654689 42:-3733.7296874645817 43:-6548.167713396404
1 1:0.43085022330525036 2:0.06777335140844484 3:0.08133800181305566 4:0.017573333111552823 5:0.0032269064113973 6:0.1 7:1.0 8:0.7013913663931503 9:0.1 10:0.1 11:0.1 12:0.1 13:0.008921820656283079 14:0.11341297444427642 15:1.0 16:0.6484197792227431 17:0.4910025706940874 18:0.10358384999243914 19:0.13533948283683653 20:0.044155451383638286 21:0.018146075911084227 22:255.0 23:40.50308630215727 24:254.5 25:40.5 26:254.5 27:40.5 28:254.5 29:40.5 30:3993.0 31:145.71428571428572 32:129.85344957815693 33:0.9599146609654841 34:0.9830095569672685 35:0.9924295064930047 36:-1769.033980922185 37:-4749.9996799573655 38:4786.0986815330625 39:215.66113572133898 40:-4825.934423449269 41:-5759.858478383142 42:-5106.2335733731925 43:2508.9494759152235
1 1:0.945390178644452 2:0.22863919428898574 3:0.26314129152110666 4:0.07809414761242683 5:0.033076680414539254 6:0.00931174089068826 7:0.7647773279352227 8:1.0 9:0.0008097165991902834 10:0.1 11:0.1 12:0.1 13:0.1 14:0.037250384024577574 15:1.0 16:0.6993087557603687 17:0.25 18:0.12903225806451613 19:0.14516129032258066 20:0.032642089093702 21:0.004608294930875576 22:377.25 23:49.75628101054178 24:376.75 25:49.75 26:376.75 27:49.7512562655457 28:376.75 29:49.7512562655457 30:2885.0 31:215.57142857142858 32:190.44148493349203 33:0.9669868138632567 34:0.9900072277805689 35:0.9937079641421761 36:-57.480550423268255 37:-3457.718562735296 38:221.31067300855867 39:5245.648422288867 40:-467.303819080537 41:1332.0754695444498 42:-6029.415447828169 43:-1546.8733063554544
1 1:0.5202142712755206 2:0.5720301866451047 3:0.5413044943063136 4:0.1577050064011859 5:0.1590526244862206 6:0.1 7:0.03374233128834356 8:0.5260736196319018 9:0.6119631901840491 10:0.6625766871165644 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:1.0 18:0.3976897689768977 19:0.6237623762376238 20:0.5247524752475248 21:0.5346534653465347 22:192.0 23:1.5811388300841898 24:191.5 25:1.5 26:191.5 27:1.5 28:191.5 29:1.5 30:1370.0 31:109.71428571428571 32:95.02287587089495 33:0.9406351748445034 34:0.9873347290478381 35:0.990866021881474 36:-37.993895994576164 37:-193.48135219466977 38:131.42713153893 39:200.72257696850923 40:-228.15037292748775 41:68.12256849330224 42:-37.66650591456784 43:125.63792583010142
1 1:0.5529998161501849 2:0.09931975568402344 3:0.1129348558821727 4:0.03309296672318346 5:0.01167446326067861 6:0.006219341275402943 7:1.0 8:0.44472669936930626 9:0.0016643307638402243 10:0.00043798177995795374 11:0.1 12:0.1 13:0.1 14:0.010142477662400387 15:0.4157208403767206 16:0.3386863076551558 17:1.0 18:0.3361506882395557 19:0.504950495049505 20:0.24160830717218063 21:0.15491427191499638 22:401.0 23:121.50102880222866 24:400.5 25:121.5 26:400.5 27:121.5 28:400.5 29:121.5 30:6492.0 31:229.14285714285714 32:218.667672554514 33:0.9739199734110923 34:0.969924811595058 35:0.9874289480425957 36:-2760.141260282266 37:-10047.038572509848 38:8363.871470194019 39:5798.599073156691 40:-11358.313844063507 41:-4467.959932782462 42:5594.7816738777 43:7139.047607866116
1 1:0.6811659330221728 2:0.10070164329557872 3:0.09830155341987275 4:0.016821055426756406 5:0.0046367693768958156 6:0.0024013722126929675 7:0.8286449399656947 8:0.6984562607204117 9:0.644253859348199 10:1.0 11:0.0030874785591766723 12:0.1 13:0.1 14:0.00014404033129276198 15:0.022362261433201296 16:0.14897371263953907 17:1.0 18:0.1806265754411235 19:0.19420237666546633 20:0.05408714440043212 21:0.034749729924378824 22:435.5 23:164.0007621933508 24:435.0 25:164.0 26:435.0 27:164.0 28:435.0 29:164.0 30:13568.0 31:248.85714285714286 32:248.62963193785052 33:0.9538331986574539 34:0.9587803439989896 35:0.9748495028958813 36:-1832.303863692356 37:-214.06467927130436 38:1814.6942939057365 39:-4674.009803291536 40:1597.8645891861886 41:859.757281163599 42:-1676.2582043422774 43:1503.5799118346429
1 1:0.28934775968827225 2:0.02471238303268143 3:0.01308738187573466 4:0.0013050359579056486 5:0.006469646344510982 6:0.1 7:0.5864479698843775 8:0.5463834364076364 9:0.6136058080129067 10:1.0 11:0.1 12:0.1 13:0.04812292970187707 14:0.1214574898785425 15:0.2798122929701877 16:0.3508465218991535 17:1.0 18:0.09955833640044166 19:0.05566801619433198 20:0.00027603974972396027 21:0.1 22:214.5 23:23.005434140654682 24:214.0 25:23.0 26:214.0 27:23.0 28:214.0 29:23.0 30:7792.0 31:122.57142857142857 32:107.56507285340899 33:0.9603715047584102 34:0.9674806928195839 35:0.9809094172649386 36:-1164.0182445249823 37:-1466.166377236254 38:2611.991891709583 39:-1220.3451169103437 40:-1313.8579889012617 41:-984.4295210036444 42:-174.72379103252436 43:-2416.33265279316
1 1:0.5442407401131858 2:0.1360375930507077 3:0.15938640188868933 4:0.0391067132061405 5:0.017203790933839395 6:7.427764985515858e-05 7:0.07212359800935898 8:0.1617767213845354 9:0.5452722275867191 10:1.0 11:0.057490900987892744 12:0.009358983881749982 13:0.06563256135499482 14:0.19892844797787765 15:0.34427929484963704 16:0.24749395091600415 17:1.0 18:0.270566885585897 19:0.3429398548219841 20:0.09726062910473557 21:0.049343242309021776 22:408.5 23:71.00176054155277 24:408.0 25:71.0 26:408.0 27:71.0 28:408.0 29:71.0 30:25206.0 31:233.42857142857142 32:209.1587620806311 33:0.9833310471806967 34:0.9068789818328857 35:0.9386376136454696 36:-188.87513340897303 37:-1669.5762521192614 38:668.2487691289764 39:1870.5529966134857 40:-1210.9093524493612 41:861.3013058162431 42:-906.9880418088593 43:75.7194044149982
1 1:0.19235192182341376 2:0.02946990212028553 3:0.02479054165054769 4:0.0040328350141228715 5:0.0011499674087577703 6:0.1 7:0.45878136200716846 8:1.0 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:1.0 16:0.6545064377682404 17:0.4656652360515021 18:0.08583690987124463 19:0.023605150214592276 20:0.1 21:0.1 22:155.5 23:54.00231476520243 24:155.0 25:54.0 26:155.0 27:54.0 28:155.0 29:54.0 30:662.0 31:88.85714285714286 32:87.109829806857 33:0.9515562664347383 34:0.9976108516624859 35:0.9987181336327591 36:-222.542732604911 37:387.1374796300726 38:-71.79071242655462 39:-291.1972980817809 40:290.90091298961136 41:-413.5854363824825 42:-821.9357153060552 43:-353.4071190391892
