Original_Index,Selected_Index,Correlation
8,1,0.140673
9,2,0.165236
10,3,0.203847
11,4,0.203800
12,5,0.232443
14,6,0.340557
15,7,0.324580
16,8,0.320952
18,9,-0.169650
19,10,-0.225091
21,11,0.166440
23,12,0.106065
28,13,-0.339162
29,14,-0.445008
30,15,-0.163605
31,16,-0.120950
34,17,0.379468
35,18,0.472080
36,19,0.453660
37,20,0.312936
38,21,0.223277
46,22,-0.284583
47,23,-0.182581
48,24,-0.284587
49,25,-0.182597
52,26,-0.284587
53,27,-0.182597
54,28,-0.284587
55,29,-0.182597
69,30,-0.145638
77,31,-0.284583
78,32,-0.323725
81,33,-0.425556
82,34,0.110780
83,35,0.128210
85,36,-0.286744
87,37,-0.379155
88,38,0.325808
90,39,0.233734
91,40,-0.184382
100,41,-0.125217
101,42,-0.100124
103,43,0.126056
