1 1:0.18294663573085848 2:0.6536478473833462 3:1.0 4:0.25413766434648105 5:0.03382315029646816 6:0.1 7:1.0 8:0.0006883148433071503 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.00030953363598844406 17:0.01929426330994635 18:0.21326867519603798 19:1.0 20:0.22389599669830787 21:0.25113495666529095 22:0.09244737928188196 23:0.15971935617003716 24:0.3742261659100289 25:209.5 26:209.0 27:209.0 28:209.0 29:7322.0 30:119.71428571428571 31:110.87794355662868 32:1.8889590696042307 33:0.8860320624537152 34:0.9251592295767077 35:0.978786811611115 36:9674.392370783951 37:-7053.83108923971 38:2380.1096852875567 39:3839.4944058330825 40:-11450.298529302088 41:4254.434338646466 42:797.6029500173909 43:1646.3265191635548 44:2170.0097284661265 45:361.62398106841994
1 1:1.0 2:0.23816487552713916 3:0.5668956604543599 4:0.41018228812406476 5:0.11345395184328663 6:0.08682492177934975 7:0.1 8:0.9015444015444015 9:0.8581081081081081 10:1.0 11:0.003861003861003861 12:0.1 13:0.1 14:0.1 15:0.1 16:0.0007454342154304882 17:0.0018635855385762206 18:0.016772269847185987 19:1.0 20:0.2828922847558703 21:0.20723071188967573 22:0.0413715989563921 23:0.014908684308609765 24:0.1 25:141.5 26:141.0 27:141.0 28:141.0 29:2695.0 30:80.85714285714286 31:74.85687022851117 32:11.500846979107848 33:0.9477605789300492 34:0.9750047411008831 35:0.9819715577811545 36:164.247901270836 37:-132.09051014204812 38:-170.35975284443415 39:268.26176334320394 40:-255.712646518033 41:-61.00071394885144 42:458.76655936220527 43:-20.356674270117523 44:311.0477809339358 45:119.41084434664245
1 1:1.0 2:0.23816487552713916 3:0.5668956604543599 4:0.41018228812406476 5:0.11345395184328663 6:0.08682492177934975 7:0.1 8:1.0 9:0.493891151425398 10:0.5001851166234728 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.007455731593662628 17:0.10904007455731593 18:0.40680335507921717 19:1.0 20:0.304287045666356 21:0.38816402609506057 22:0.1989748369058714 23:0.23392357875116496 24:0.1700838769804287 25:210.5 26:210.0 27:210.0 28:210.0 29:4980.0 30:120.28571428571429 31:104.30547757937369 32:15.35174582747889 33:0.9548602816566013 34:0.9541006878966691 35:0.967108166062094 36:276.6112910937141 37:-95.39315682302872 38:-606.5165704515025 39:295.85765864020055 40:459.30583054739543 41:-427.5215449920909 42:39.74739841699751 43:-556.3426376926626 44:297.58761191930404 45:158.04781904346777
1 1:0.5288449266113593 2:0.7103701340140396 3:1.0 4:0.22597319719208678 5:0.054865985960433954 6:0.04061901723037652 7:0.1 8:1.0 9:0.5492341356673961 10:0.29048140043763676 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.1 19:1.0 20:0.5809128630705395 21:0.8817427385892116 22:0.3132780082987552 23:0.6293222683264177 24:0.16113416320885202 25:356.5 26:356.0 27:356.0 28:356.0 29:2484.0 30:203.71428571428572 31:203.05855192580313 32:4.1043690233460985 33:0.9630814413676578 34:0.9857503265132821 35:0.9908523266450557 36:44.563384065730695 37:-7.870523449128038 38:23.4921089022761 39:3.6578024928059802 40:-90.04179190691352 41:12.206725950850574 42:-70.00604066777021 43:64.04096890774534 44:102.27572293075042 45:64.07328538405001
1 1:0.6656459086864578 2:0.7097310976807608 3:1.0 4:0.22225175358517166 5:0.04671990015831379 6:0.015057143187307163 7:1.0 8:0.014038835692213788 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.006102877070619006 17:0.054413046822913994 18:0.3679163034001744 19:1.0 20:0.2629365608492743 21:0.23319144571516487 22:0.0656956767013693 23:0.04338684035078722 24:0.008513257090107185 25:250.75 26:250.25 27:250.25 28:250.25 29:20383.0 30:143.28571428571428 31:142.1575728204589 32:1.9890553600357523 33:0.9672610503811413 34:0.8893738381901223 35:0.9528501621663144 36:15477.818215686822 37:-3617.728987369695 38:-14704.603247139554 39:7088.5458752049135 40:2099.9791879985883 41:-7308.381773996896 42:1298.9414562841282 43:-2203.423470897784 44:-5267.526854509827 45:5446.242244890638
1 1:0.6189628642950646 2:0.627529109156466 3:1.0 4:0.2751647796431114 5:0.08960108398594493 6:0.045323014032106194 7:0.007462686567164179 8:1.0 9:0.8339552238805971 10:0.42350746268656714 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.1 19:0.7483506126295947 20:0.6173421300659755 21:1.0 22:0.39491046182846373 23:0.6003770028275212 24:0.42601319509896324 25:376.0 26:375.5 27:375.5 28:375.5 29:2090.0 30:214.85714285714286 31:271.47450739114583 32:2.3028707237898187 33:0.9561998154972593 34:0.9928745234896788 35:0.9954634839079317 36:150.87888605111678 37:-146.3667613758311 38:154.61051041987187 39:-4.049046927239301 40:-235.21316212325542 41:231.47699782798355 42:-411.22582812394893 43:-8.601582730610723 44:206.5105496941893 45:396.3169714735842
1 1:0.5946623241507215 2:0.6590491699461709 3:1.0 4:0.2960057900212602 5:0.08392816754874022 6:0.03127516171348442 7:0.3365611096571578 8:0.013609002878827532 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.019216823785351705 17:0.03698332124728064 18:0.4945612762871646 19:1.0 20:0.2374909354604786 21:0.18600435097897028 22:0.05910079767947788 23:0.06055112400290065 24:0.1 25:367.0 26:366.5 27:366.5 28:366.5 29:3946.0 30:209.71428571428572 31:203.18092872097608 32:0.6775237808701973 33:0.9458803371297193 34:0.987108146859946 35:0.992580608600168 36:1954.4227011684748 37:-742.1990474053314 38:-5267.152519040423 39:2726.765674365428 40:6967.813512936849 41:-5302.7488216214815 42:-6514.7633893712355 43:3992.815577877207 44:4093.358213966755 45:-3733.7296874645817
1 1:1.0 2:0.4670697527424546 3:0.43085022330525036 4:0.08133800181305566 5:0.017573333111552823 6:0.0032269064113973 7:0.1 8:0.018373171601855157 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.008921820656283079 17:0.11341297444427642 18:1.0 19:0.4910025706940874 20:0.10358384999243914 21:0.13533948283683653 22:0.044155451383638286 23:0.018146075911084227 24:0.0031755632844397397 25:255.0 26:254.5 27:254.5 28:254.5 29:3993.0 30:145.71428571428572 31:129.85344957815693 32:1.0498778149294234 33:0.9599146609654841 34:0.9830095569672685 35:0.9924295064930047 36:2757.200234123995 37:-1769.033980922185 38:-4749.9996799573655 39:4786.0986815330625 40:215.66113572133898 41:-4825.934423449269 42:6327.684596810205 43:-7839.863724862096 44:4585.412900184481 45:-5106.2335733731925
1 1:0.6923903772681069 2:0.5240860390938088 3:0.945390178644452 4:0.26314129152110666 5:0.07809414761242683 6:0.033076680414539254 7:0.00931174089068826 8:0.08097165991902834 9:0.0008097165991902834 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.037250384024577574 18:1.0 19:0.25 20:0.12903225806451613 21:0.14516129032258066 22:0.032642089093702 23:0.004608294930875576 24:0.1 25:377.25 26:376.75 27:376.75 28:376.75 29:2885.0 30:215.57142857142858 31:190.44148493349203 32:0.6315791728060857 33:0.9669868138632567 34:0.9900072277805689 35:0.9937079641421761 36:1207.3493982951181 37:-57.480550423268255 38:-3457.718562735296 39:221.31067300855867 40:5245.648422288867 41:-467.303819080537 42:-6358.221557049871 43:6704.453282123816 44:5080.0667936854425 45:-6029.415447828169
1 1:1.0 2:0.15622262650764773 3:0.5202142712755206 4:0.5413044943063136 5:0.1577050064011859 6:0.1590526244862206 7:0.1 8:1.0 9:0.6119631901840491 10:0.6625766871165644 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.1 19:1.0 20:0.3976897689768977 21:0.6237623762376238 22:0.5247524752475248 23:0.5346534653465347 24:0.21782178217821782 25:192.0 26:191.5 27:191.5 28:191.5 29:1370.0 30:109.71428571428571 31:95.02287587089495 32:6.225426965241892 33:0.9406351748445034 34:0.9873347290478381 35:0.990866021881474 36:78.6225418873963 37:-37.993895994576164 38:-193.48135219466977 39:131.42713153893 40:200.72257696850923 41:-228.15037292748775 42:-85.10652653983342 43:-110.28634574409925 44:144.33032822039826 45:-37.66650591456784
1 1:0.7978673421445059 2:0.4996016587338876 3:0.5529998161501849 4:0.1129348558821727 5:0.03309296672318346 6:0.01167446326067861 7:0.006219341275402943 8:0.014278206026629292 9:0.0016643307638402243 10:0.00043798177995795374 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.010142477662400387 18:0.4157208403767206 19:1.0 20:0.3361506882395557 21:0.504950495049505 22:0.24160830717218063 23:0.15491427191499638 24:0.11446510504709008 25:401.0 26:400.5 27:400.5 28:400.5 29:6492.0 30:229.14285714285714 31:218.667672554514 32:1.0363553903477962 33:0.9739199734110923 34:0.969924811595058 35:0.9874289480425957 36:4879.053935425144 37:-2760.141260282266 38:-10047.038572509848 39:8363.871470194019 40:5798.599073156691 41:-11358.313844063507 42:4071.147911563719 43:-11369.7590825877 44:-2357.8391904466707 45:5594.7816738777
1 1:0.8090141247842473 2:0.7380225302053864 3:0.6811659330221728 4:0.09830155341987275 5:0.016821055426756406 6:0.0046367693768958156 7:0.0024013722126929675 8:0.641852487135506 9:0.644253859348199 10:1.0 11:0.0030874785591766723 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.00014404033129276198 18:0.022362261433201296 19:1.0 20:0.1806265754411235 21:0.19420237666546633 22:0.05408714440043212 23:0.034749729924378824 24:0.024378826071299965 25:435.5 26:435.0 27:435.0 28:435.0 29:13568.0 30:248.85714285714286 31:248.62963193785052 32:14.260006500072224 33:0.9538331986574539 34:0.9587803439989896 35:0.9748495028958813 36:2571.3072605926614 37:-1832.303863692356 38:-214.06467927130436 39:1814.6942939057365 40:-4674.009803291536 41:1597.8645891861886 42:-490.45882696290494 43:4023.1074026003002 44:3072.0856965530006 45:-1676.2582043422774
