Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	80.34	3.49	70.70	6.77
Linear	0.001000	0.010000	80.34	3.49	70.70	6.77
Linear	0.001000	0.100000	80.34	3.49	70.70	6.77
Linear	0.001000	1.000000	80.34	3.49	70.70	6.77
Linear	0.001000	10.000000	80.34	3.49	70.70	6.77
Linear	0.001000	100.000000	80.34	3.49	70.70	6.77
Linear	0.001000	1000.000000	80.34	3.49	70.70	6.77
Linear	0.010000	0.001000	64.34	10.84	61.65	11.62
Linear	0.010000	0.010000	64.34	10.84	61.65	11.62
Linear	0.010000	0.100000	64.34	10.84	61.65	11.62
Linear	0.010000	1.000000	64.34	10.84	61.65	11.62
Linear	0.010000	10.000000	64.34	10.84	61.65	11.62
Linear	0.010000	100.000000	64.34	10.84	61.65	11.62
Linear	0.010000	1000.000000	64.34	10.84	61.65	11.62
Linear	0.100000	0.001000	57.82	13.45	55.10	12.26
Linear	0.100000	0.010000	57.82	13.45	55.10	12.26
Linear	0.100000	0.100000	57.82	13.45	55.10	12.26
Linear	0.100000	1.000000	57.82	13.45	55.10	12.26
Linear	0.100000	10.000000	57.82	13.45	55.10	12.26
Linear	0.100000	100.000000	57.82	13.45	55.10	12.26
Linear	0.100000	1000.000000	57.82	13.45	55.10	12.26
Linear	1.000000	0.001000	63.91	5.32	65.25	9.21
Linear	1.000000	0.010000	63.91	5.32	65.25	9.21
Linear	1.000000	0.100000	63.91	5.32	65.25	9.21
Linear	1.000000	1.000000	63.91	5.32	65.25	9.21
Linear	1.000000	10.000000	63.91	5.32	65.25	9.21
Linear	1.000000	100.000000	63.91	5.32	65.25	9.21
Linear	1.000000	1000.000000	63.91	5.32	65.25	9.21
Linear	10.000000	0.001000	63.90	6.64	62.66	14.18
Linear	10.000000	0.010000	63.90	6.64	62.66	14.18
Linear	10.000000	0.100000	63.90	6.64	62.66	14.18
Linear	10.000000	1.000000	63.90	6.64	62.66	14.18
Linear	10.000000	10.000000	63.90	6.64	62.66	14.18
Linear	10.000000	100.000000	63.90	6.64	62.66	14.18
Linear	10.000000	1000.000000	63.90	6.64	62.66	14.18
Linear	100.000000	0.001000	63.90	6.64	62.66	14.18
Linear	100.000000	0.010000	63.90	6.64	62.66	14.18
Linear	100.000000	0.100000	63.90	6.64	62.66	14.18
Linear	100.000000	1.000000	63.90	6.64	62.66	14.18
Linear	100.000000	10.000000	63.90	6.64	62.66	14.18
Linear	100.000000	100.000000	63.90	6.64	62.66	14.18
Linear	100.000000	1000.000000	63.90	6.64	62.66	14.18
Linear	1000.000000	0.001000	63.90	6.64	62.66	14.18
Linear	1000.000000	0.010000	63.90	6.64	62.66	14.18
Linear	1000.000000	0.100000	63.90	6.64	62.66	14.18
Linear	1000.000000	1.000000	63.90	6.64	62.66	14.18
Linear	1000.000000	10.000000	63.90	6.64	62.66	14.18
