1 1:1.0 2:0.18705852023717454 3:0.25413766434648105 4:0.03382315029646816 5:0.1 6:1.0 7:0.1897319621021945 8:0.057737468620940965 9:0.1 10:0.1 11:1.0 12:0.22389599669830787 13:0.25113495666529095 14:0.09244737928188196 15:0.15971935617003716 16:0.9251592295767077 17:0.978786811611115 18:3839.4944058330825 19:-11450.298529302088 20:-1714.1400162191899
1 1:0.5668956604543599 2:0.3191062440484288 3:0.41018228812406476 4:0.11345395184328663 5:0.08682492177934975 6:0.1 7:0.02413127413127413 8:0.7915057915057915 9:0.003861003861003861 10:0.1 11:1.0 12:0.2828922847558703 13:0.20723071188967573 14:0.0413715989563921 15:0.014908684308609765 16:0.9750047411008831 17:0.9819715577811545 18:268.26176334320394 19:-255.712646518033 20:-424.5246795605067
1 1:0.5668956604543599 2:0.3191062440484288 3:0.41018228812406476 4:0.11345395184328663 5:0.08682492177934975 6:0.1 7:0.031469825990373936 8:0.5149944465012958 9:0.1 10:0.1 11:1.0 12:0.304287045666356 13:0.38816402609506057 14:0.1989748369058714 15:0.23392357875116496 16:0.9541006878966691 17:0.967108166062094 18:295.85765864020055 19:459.30583054739543 20:294.38502827291944
1 1:1.0 2:0.21879387364390554 3:0.22597319719208678 4:0.054865985960433954 5:0.04061901723037652 6:0.1 7:0.011487964989059081 8:0.19146608315098468 9:0.1 10:0.1 11:1.0 12:0.5809128630705395 13:0.8817427385892116 14:0.3132780082987552 15:0.6293222683264177 16:0.9857503265132821 17:0.9908523266450557 18:3.6578024928059802 19:-90.04179190691352 20:5.706921404672945
1 1:1.0 2:0.24316766238718698 3:0.22225175358517166 4:0.04671990015831379 5:0.015057143187307163 6:1.0 7:0.6875596078281768 8:0.22782588791820851 9:0.1 10:0.1 11:1.0 12:0.2629365608492743 13:0.23319144571516487 14:0.0656956767013693 15:0.04338684035078722 16:0.8893738381901223 17:0.9528501621663144 18:7088.5458752049135 19:2099.9791879985883 20:-1431.4669765867097
1 1:1.0 2:0.2506832326665595 3:0.2751647796431114 4:0.08960108398594493 5:0.045323014032106194 6:0.007462686567164179 7:0.1417910447761194 8:0.5261194029850746 9:0.1 10:0.1 11:0.7483506126295947 12:0.6173421300659755 13:1.0 14:0.39491046182846373 15:0.6003770028275212 16:0.9928745234896788 17:0.9954634839079317 18:-4.049046927239301 19:-235.21316212325542 20:-28.30044096480163
1 1:1.0 2:0.2669109331885828 3:0.2960057900212602 4:0.08392816754874022 5:0.03127516171348442 6:0.3365611096571578 7:1.0 8:0.3679665009159906 9:0.1 10:0.1 11:1.0 12:0.2374909354604786 13:0.18600435097897028 14:0.05910079767947788 15:0.06055112400290065 16:0.987108146859946 17:0.992580608600168 18:2726.765674365428 19:6967.813512936849 20:-6548.167713396404
1 1:0.43085022330525036 2:0.06777335140844484 3:0.08133800181305566 4:0.017573333111552823 5:0.0032269064113973 6:0.1 7:1.0 8:0.7013913663931503 9:0.1 10:0.1 11:0.4910025706940874 12:0.10358384999243914 13:0.13533948283683653 14:0.044155451383638286 15:0.018146075911084227 16:0.9830095569672685 17:0.9924295064930047 18:4786.0986815330625 19:215.66113572133898 20:2508.9494759152235
1 1:0.945390178644452 2:0.22863919428898574 3:0.26314129152110666 4:0.07809414761242683 5:0.033076680414539254 6:0.00931174089068826 7:0.7647773279352227 8:1.0 9:0.1 10:0.1 11:0.25 12:0.12903225806451613 13:0.14516129032258066 14:0.032642089093702 15:0.004608294930875576 16:0.9900072277805689 17:0.9937079641421761 18:221.31067300855867 19:5245.648422288867 20:-1546.8733063554544
1 1:0.5202142712755206 2:0.5720301866451047 3:0.5413044943063136 4:0.1577050064011859 5:0.1590526244862206 6:0.1 7:0.03374233128834356 8:0.5260736196319018 9:0.1 10:0.1 11:1.0 12:0.3976897689768977 13:0.6237623762376238 14:0.5247524752475248 15:0.5346534653465347 16:0.9873347290478381 17:0.990866021881474 18:131.42713153893 19:200.72257696850923 20:125.63792583010142
1 1:0.5529998161501849 2:0.09931975568402344 3:0.1129348558821727 4:0.03309296672318346 5:0.01167446326067861 6:0.006219341275402943 7:1.0 8:0.44472669936930626 9:0.1 10:0.1 11:1.0 12:0.3361506882395557 13:0.504950495049505 14:0.24160830717218063 15:0.15491427191499638 16:0.969924811595058 17:0.9874289480425957 18:8363.871470194019 19:5798.599073156691 20:7139.047607866116
1 1:0.6811659330221728 2:0.10070164329557872 3:0.09830155341987275 4:0.016821055426756406 5:0.0046367693768958156 6:0.0024013722126929675 7:0.8286449399656947 8:0.6984562607204117 9:0.0030874785591766723 10:0.1 11:1.0 12:0.1806265754411235 13:0.19420237666546633 14:0.05408714440043212 15:0.034749729924378824 16:0.9587803439989896 17:0.9748495028958813 18:1814.6942939057365 19:-4674.009803291536 20:1503.5799118346429
1 1:0.28934775968827225 2:0.02471238303268143 3:0.01308738187573466 4:0.0013050359579056486 5:0.006469646344510982 6:0.1 7:0.5864479698843775 8:0.5463834364076364 9:0.1 10:0.1 11:1.0 12:0.09955833640044166 13:0.05566801619433198 14:0.00027603974972396027 15:0.1 16:0.9674806928195839 17:0.9809094172649386 18:2611.991891709583 19:-1220.3451169103437 20:-2416.33265279316
1 1:0.5442407401131858 2:0.1360375930507077 3:0.15938640188868933 4:0.0391067132061405 5:0.017203790933839395 6:7.427764985515858e-05 7:0.07212359800935898 8:0.1617767213845354 9:0.057490900987892744 10:0.009358983881749982 11:1.0 12:0.270566885585897 13:0.3429398548219841 14:0.09726062910473557 15:0.049343242309021776 16:0.9068789818328857 17:0.9386376136454696 18:668.2487691289764 19:1870.5529966134857 20:75.7194044149982
