Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Polynomial	100.000000	10.000000	53.84	7.39	50.00	11.28
Polynomial	100.000000	100.000000	53.57	17.53	55.15	17.50
Polynomial	100.000000	1000.000000	47.34	5.64	47.27	11.91
Polynomial	1000.000000	0.001000	65.19	9.56	64.85	13.70
Polynomial	1000.000000	0.010000	62.73	13.30	62.73	14.72
Polynomial	1000.000000	0.100000	50.30	10.01	50.91	11.40
Polynomial	1000.000000	1.000000	55.45	12.21	57.58	13.48
Polynomial	1000.000000	10.000000	53.84	7.39	50.00	11.28
Polynomial	1000.000000	100.000000	53.57	17.53	55.15	17.50
Polynomial	1000.000000	1000.000000	47.34	5.64	47.27	11.91
Radial Basis Function	0.001000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.001000	69.33	0.95	68.79	8.79
Radial Basis Function	0.100000	0.010000	63.94	0.93	63.94	8.40
Radial Basis Function	0.100000	0.100000	62.12	1.01	62.12	9.12
Radial Basis Function	0.100000	1.000000	60.61	1.09	60.30	9.53
Radial Basis Function	0.100000	10.000000	50.77	0.42	48.48	5.07
Radial Basis Function	0.100000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	1.000000	0.001000	98.18	0.22	71.52	7.20
Radial Basis Function	1.000000	0.010000	98.18	0.22	68.48	8.59
Radial Basis Function	1.000000	0.100000	98.48	0.17	63.94	8.51
Radial Basis Function	1.000000	1.000000	99.36	0.10	62.12	9.98
Radial Basis Function	1.000000	10.000000	99.93	0.13	60.00	8.97
Radial Basis Function	1.000000	100.000000	100.00	0.00	47.88	3.78
Radial Basis Function	1.000000	1000.000000	100.00	0.00	48.18	4.38
Radial Basis Function	10.000000	0.001000	98.18	0.22	71.52	7.07
Radial Basis Function	10.000000	0.010000	98.48	0.17	69.09	8.66
Radial Basis Function	10.000000	0.100000	98.82	0.23	63.64	9.19
Radial Basis Function	10.000000	1.000000	99.70	0.10	61.82	9.98
Radial Basis Function	10.000000	10.000000	100.00	0.00	60.00	9.66
Radial Basis Function	10.000000	100.000000	100.00	0.00	47.88	3.78
Radial Basis Function	10.000000	1000.000000	100.00	0.00	48.18	4.38
Radial Basis Function	100.000000	0.001000	98.48	0.17	72.12	7.27
Radial Basis Function	100.000000	0.010000	98.82	0.23	69.39	8.62
Radial Basis Function	100.000000	0.100000	99.70	0.10	63.94	9.04
Radial Basis Function	100.000000	1.000000	100.00	0.00	61.82	9.98
Radial Basis Function	100.000000	10.000000	100.00	0.00	60.00	9.66
Radial Basis Function	100.000000	100.000000	100.00	0.00	47.88	3.78
Radial Basis Function	100.000000	1000.000000	100.00	0.00	48.18	4.38
Radial Basis Function	1000.000000	0.001000	98.82	0.23	71.82	7.43
Radial Basis Function	1000.000000	0.010000	99.46	0.22	68.18	10.34
Radial Basis Function	1000.000000	0.100000	100.00	0.00	63.64	8.99
Radial Basis Function	1000.000000	1.000000	100.00	0.00	61.82	9.98
Radial Basis Function	1000.000000	10.000000	100.00	0.00	60.00	9.66
Radial Basis Function	1000.000000	100.000000	100.00	0.00	47.88	3.78
Radial Basis Function	1000.000000	1000.000000	100.00	0.00	48.18	4.38
Sigmoid	0.001000	0.001000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.010000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.100000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	10.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	100.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1000.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	0.001000	72.39	2.70	70.61	9.49
Sigmoid	0.010000	0.010000	72.46	2.64	70.00	9.91
Sigmoid	0.010000	0.100000	61.99	2.01	60.91	7.95
Sigmoid	0.010000	1.000000	61.65	2.10	59.70	7.43
Sigmoid	0.010000	10.000000	61.58	2.13	60.30	7.95
Sigmoid	0.010000	100.000000	61.52	2.05	60.30	7.95
Sigmoid	0.010000	1000.000000	61.52	2.05	60.30	7.95
Sigmoid	0.100000	0.001000	56.90	1.73	55.76	8.91
