Original_Index,Selected_Index,Correlation
8,1,0.140673
9,2,0.165236
10,3,0.203847
11,4,0.203800
12,5,0.232443
14,6,0.340557
15,7,0.324580
16,8,0.320952
21,9,0.166440
23,10,0.106065
34,11,0.379468
35,12,0.472080
36,13,0.453660
37,14,0.312936
38,15,0.223277
82,16,0.110780
83,17,0.128210
88,18,0.325808
90,19,0.233734
103,20,0.126056
